customer_msg,brand_reply
Amazon Logistics is the shittiest of all delivery companies. If you're not able to deliver THEN Q U I T I T,"So sorry for the trouble! We'd love to help out! Without providing account and personal information, could you give more details on the issue at hand? ^VB"
Hey @115850 who attempts delivery at 947PM ? How come you say delivery failed when my office has 24/7 Control room? This is blatant lying https://t.co/B1qElHQraQ,"Apologies, did you report about this to our customer service team here: https://t.co/vlvfJr4nN9? Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.​ ^SI"
an otterbox I would like to buy that is shipped and sold by Amazon.ca and is in stock says delivery to my area isn't available ?? But for every other thing I have ordered I never had this issue ?,I'm sorry for the trouble this has caused! Not all items are able to be shipped to all areas. ^SB
So one of @115821 delivery drivers pulled of and just tried to fight me after he almost slammed into my car.,"This is not the delivery experience we expect, Topher. Thank you for letting us know. I'd like a specialist to review this with you. When you get a moment, please provide additional details here: https://t.co/waSmdZc17Y ^FD"
someone just changed my password and email on my Amazon account!!! I need help,"Oh no, I am so sorry! Please contact us at this link : https://t.co/jzvkhdlrK5 so we can help you with this issue. ^CC"
"surprise surprise, more parcels left on my door step, in the rain, £150 worth of stuff. Your service gets worse. https://t.co/JqsGPHHPQq",I'm sorry for the poor delivery experience! Please reach out via chat/phone so we can address this: https://t.co/JzP7hlA23B^MO
"Hi, is it possible to change a delivery date for an order where delivery has been attempted multiple times? Is there a limit for how many times a delivery is attempted before it is cancelled?","Hey there, truly sorry for any inconvenience caused! Typically, deliveries are attempted up to 3 times before returning to sender - it depends on the courier. What does the tracking state when deliveries are attempted? Have you set up a Safe Space for deliveries? ^JE"
I’m sure there is a safer place than that to leave my order🙃 https://t.co/Rmpzt5EHDu,"I am sorry to see that, Georgia. Are the contents still in perfect condition? Do you have a designated safe place for your orders?SM"
"I want to know about the return policy of this product https://t.co/HL9VMddMmH in case there is any problem, you know. @115850",You can have a look at our policy here: https://t.co/dGaNWslPFh ^SH
Second day in a row delivery of order has not been attempted during business hours to a commercial address. @AmazonHelp,We'd like to take another look at this and get your parcel delivered. Please contact us once more. ^EM
are you in Hartford yet?,Hi! You can check availability using your zip code here: https://t.co/wYbSB6QCmZ ^DO
