cluster_id,dist_to_center,customer_msg
0,0.655,"After calling @115821 customer service and telling them it was me that made the purchases after they blocked my account, they promptly blocked it again once I got back in and made the purchase again. ffs"
0,0.701,"Hello! I received an email that i have lost access to my account , and that my order can’t be dispatched , I’ve been told to .."
0,0.708,Fake @115821 its 3 months n more stily my account is on hold 5000₹ in @115823 pls don't use @115823 for any transaction they can out your account on hold
0,0.709,Hey @115821 thanks for locking my account. Now I can't login to get customer service to unlock my account. #fail
0,0.717,Yes same account but I now believe that it is my bank having the problems on their end not yours sorry for the inconvenience
0,0.717,My account has been locked for 2 weeks. The customer support are useless and promised calls backs do not happen. Help!
0,0.723,Yet again my @115821 account has been hacked by someone else... 2 times in 6 months this has happened to me! Maybe it’s time to get Better protection @115821. I will not be using them EVER again!!!
0,0.724,Still have a deactivated account after the 48 hour window after @115821 said they’d get my account back up. This isn’t good service.
1,0.559,my order is due to to arrive tomorrow but it hasn’t even been dispatched yet? (I ordered a week ago)
1,0.560,This is the third time now. I was told my package would be delivered today (two days late) at “highest priority”. It is still not here! This is getting so ridiculous now! @115821 @115830 @AmazonHelp
1,0.575,"On Monday, I ordered some stuff I need for tomorrow on @115821 with 2-Day Shipping. Here we are, on Thursday (3 days later) and they don't even know when it's going to get to me. #Frustrating #YouveFailedMe"
1,0.579,Love when @115821 says 2 day delivery but my packages don't come on time #amazonfail
1,0.582,my order #408-4360134-7072354 placed on 4th-5th October not delivered till date. Customer service feedback also not responsive. Will somebody in amazon give the status ?
1,0.582,absolutely furious with your poor delivery. Waited in all day for item (prime order) &amp; it never turned up. Now says delivery will be tomorrow when I won’t be available.
1,0.589,"what's going on with deliveries? Ordered last Thursday with Prime, said guaranteed delivery Friday by 8pm, still not here today 😔"
1,0.590,"EVERY time I order from amazon, I pay for same day and 3 days later they keep claiming they failed to deliver. IM AT HOME. @AmazonHelp @115830"
2,0.486,When @115830 ‘prime’ is no longer next day delivery and they still can’t get your packages delivered on time!.. but they take your money just fine..!!
2,0.502,When you pay for @115821 prime to get a package the next day and it still hasn’t arrived 2 days later and no one seems to know what’s going on with it! @AmazonHelp 🤬
2,0.503,Tell me again #Amazon why I am paying for Prime? My last several orders have been delayed for one reason or another...grrr
2,0.518,"Used my Prime Membership again today for an order, not due to arrive until Tuesday, how can this be One Day delivery?! Paying Prime Membership for this poor service!!"
2,0.518,Hey @115821 why is an item out for delivery today now being delayed until November 7th. What is going on with your prime service...
2,0.520,Now ANOTHER Prime order from @115821 is not being delivered within the Prime window. It's taking an extra week. WHY DID I BUY PRIME?!
2,0.523,Order package from @115821 with 2 day prime shipping on Tuesday. It's now Friday going into Saturday. Wonder why I pay for prime...
2,0.524,Checked the tracking of my @115830 delivery. Still says out for delivery and its 11pm. Why do I pay for Prime again?
3,0.747,Amazon.in not able to pick the product since 10th Oct. Don't you have enough resources to serve customers??? https://t.co/SXh7J9RfRy
3,0.759,Hi! Why I can't order a kindle edition of The Dragons of Nova by @46092? I'm from Saudi Arabia.. https://t.co/YSgdOj9mYw
3,0.761,"Really I cant find a customer service link anywhere on your site, then i stumble across this gem? Never got my shipping label to send a @117634 device back to you guys. PS. Not buying the book https://t.co/5ojiIhwViH"
3,0.771,I think part of my order is missing!!! #Halloween #AmazonFail #orderfail #NotMyBestSide #CustomerShaming https://t.co/49Ew2L3Uo2
3,0.780,Amazon double charged me for a book I have yet to get 🖕🏼
3,0.781,"Just ordered 4 new books from @115821 for less than $18. You rock, @115821! #bookworm"
3,0.782,"Have had the most awful time buying gifts for the kid on @115821 incorrect items, broken items, DVDs missing from wrapped cases-unbelievable! Why does anyone shop online? Will NEVER invest in being a Prime member. #shopping #Amazon https://t.co/92az7LjWPV"
3,0.782,"Hey @AmazonHelp I'm not upset, I'm just disappointed. Ordered this 1/2 https://t.co/Emu02onHbp"
4,0.551,First bad experience with @115821 today. Important same-day order. Wrong item delivered. No good solution from substandard customer service.
4,0.570,"My order that I PAID to have shipped in two days, has yet to arrive... And, @115821 is taunting me with this. 😡💩👎🏻 https://t.co/nx2VHSUi2l"
4,0.574,Very disappointed with @115821. My order was supposed to come in today 😡😡😡
4,0.579,"Yay, @115821 delivered my package to the wrong address AGAIN. This is the third time now. And I'm not home to go hunt for it. Faaaaabulous."
4,0.591,I'm no longer an @115821 customer. I placed two orders with them in the past month that never made it to my door (I was home during delivery times too) and I was a prime customer. Really disappointing.
4,0.592,"So @115821 has either a glitch or is straight up lying. Find out package ""out for delivery"" today has never left the shipper."
4,0.594,Shame on you @115850 you even couldn't deliver an order after 15 days of order placed!!!
4,0.600,Nice. My @115821 package was delivered to my neighbor. Good thing they just brought it over to me. Delivery person should be more careful.
5,0.635,I was unavail to acpt ur call 4 delivery nd u autocncelled it.this is how you give service.need my order back.@118702 u r better
5,0.641,You have the single worst customer service ever. Wasted hours on the phone to you to sort out gettin an item ordered almost a month ago delivered. I've been #lied to over and over by your call centre!
5,0.642,my order no.404-3912542-2492343 not delivered since one week. I am not happy with the service
5,0.661,"in last 7 days I have contacted customer care 4 times , but still my problem is not solved , ORDER # 171-6467775-0679513 , it is stuck in customs @31319 horrible experience https://t.co/oiESeq2Rsd"
5,0.662,What the hell is going on.. I didn't received my order and it shows .. Item handed to customer. Poor service. Waiting from 4 days. I made online payment. Not expected poor service like that from #Amazon
5,0.664,"ur service is very poor, ur delivery agent was not able deliver my order into bhopal in 2 days. i m going cancel my order"
5,0.667,"pathetic service , order placed on 9th October , still not delivered! Asked me to take refund instead of delivering it! 🙄😏"
5,0.668,Absolutely disgusted at the service by Amazon. I'm a prime member and have had 9 lately deliveries this month and one damaged item. And no help what so ever from customer service. You've just lost a customer for life @115830
6,0.820,"Please check the Echo &amp; Alexa page on the website. May have skipped a ""f"" 😆 https://t.co/Lv8UeIbr5N"
6,0.821,"I don’t get the option for video on the Alexa app, just books and music? @115850 . Unable to connect my fire stick to my echo @AmazonHelp"
6,0.822,please change your #UX and fix the bug that keeps making the #app crash on @115821 #firetv
6,0.824,"The @115821 Alexa app repeatedly crashes when I click the Smart Home section to rename my lights. And it bugs me, because I'm spoiled. 😂"
6,0.831,"subscribed but now I know its crap waste of money. @5525 option is not there, outdated app by @115821 #selfish #fireTv"
6,0.832,why is Videos option missing in the skills for Alexa in India? Not able to connect my fire TV.
6,0.836,"""Your Amazon music marketplace isn't configured correctly for this device"" says EchoDot. Settings are correct in app. #bug"
6,0.838,when are you launching a dedicated app for Amazon Fire stick tv? @115850 any idea ?
7,0.585,my order no is 405-5864882-4156312. Cancelled but not refunded
7,0.593,I have still not received my refund for returned item...which supposed to b in my account by 19th Oct. Not the first time. @AmazonHelp
7,0.597,"Please refund me for my order no- 407-9479029-3825153. More than a month has been passed that i have returned my order and several mails have also been done, still not getting any response about the refund."
7,0.606,I DESERVE A REFUND. HIRE MORE PPL OR CHANGE YOUR SHIPPING TIME. I'M TELLING EVERYONE AS YOU CAN SEE NOT TO ORDER FROM YOU AMAZON
7,0.620,please confirm you received my order back and you cannot process my refund
7,0.628,refund not occured for my wrong product delivery after five days what happened to my money .9425815901
7,0.632,the refund without returning the product. I have your emails and msgs as proof. ORDER # 404-8970009-0733166
7,0.638,and same order again cancel by seller Order ID 405-4069128-2777952
8,0.612,Amazon delivery is the worst!Had a package stolen yesterday..I'm thinking the delivery driver left it at the wrong house..AGAIN! @AmazonHelp
8,0.616,How does @115830 delivery one of my parcels tonight but insist they were unable to deliver the rest 😩 why ?? I didn’t leave the house !! Cannot believe the crap they come out with sometimes .. and yes you have delivery instructions 😡😡
8,0.635,Great service from @115830... parcel was delivered opened and an Item was missing.... this is literally how I received this parcel. https://t.co/GoPtbpWPUp
8,0.635,Soooo angry! Ordered something for my trip and @117795 failed to deliver because I wasn’t in despite putting several parcels through my letterbox before
8,0.636,"So @115830 claims that I was handed my delivery today at half past two, I wasn't even in the house and there's no parcel to be found!"
8,0.642,I'm annoyed @115821 your carriers should do a better job at reaching out when trying to deliver 🙄 I think my package was just stolen 🆘😞😡
8,0.645,"Delivery driver posted the ""We tried to deliver your package"" letter without actually trying to deliver the package!!! See him run away as well!!! Very poor."
8,0.646,I’ve been waiting to my parcel all night for you your ‘logistics’ to send me a message saying they couldn’t deliver it!!! 😡
9,0.591,Had a really bad experience with Amazon India its been the third day contacting with pathetic customer care service
9,0.595,Amazon is starting to piss me off. All of the sudden it wants to charge me money to return shit. No thank you. @115821
9,0.597,an update to my issue from before: @AmazonHelp has like really good customer service thanks yall!
9,0.598,"Yo, Michelle from @AmazonHelp customer support is the bomb."
9,0.599,never using amazon again thanks for the shitty / useless / incompetent service @115821
9,0.600,Bad experience with you @AmazonHelp help me out.
9,0.604,"#Shame on you @AmazonHelp @115850 @115821 @115851 for wasting my time, and being inflexible as always. Shouldn't have #trusted you the first time. My fault for believing that you are genuinely interested in resolving issue. #Deplorable #Despicable #Patheticcustomerservice https://t.co/K3L3OVAlXc"
9,0.605,As someone who works in a Customer Service I can say the people at @AmazonHelp are useless!!! This is my 3rd consecutive day contacting them about the same issue I thought was resolved already... come on https://t.co/6Nj77yjqLk
